Id,DwellSubClass,Zone,Frontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Slope,Condition1,Condition2,DwellClass,OverallQuality,OverallCondition,YearBuilt,ExteriorCondition,BasementCondition,TotalBSF,HeatingQC,CentralAir,1stFSF,2ndFSF,LowQualFinSF,LivingArea,FullBath,HalfBath,BedroomAbvGr,KitchenQuality,KitchenAbvGr,TotalRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,OpenPorchSF,Fence,MoSold,YrSold,SaleType,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,2003,TA,TA,856,Ex,Y,856,854,0,1710,2,1,3,Gd,1,8,0,Attchd,2,Y,0,61,NA,2,2008,WD,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,6,8,1976,TA,TA,1262,Ex,Y,1262,0,0,1262,2,0,3,TA,1,6,1,Attchd,2,Y,0,0,NA,5,2007,WD,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,2001,TA,TA,920,Ex,Y,920,866,0,1786,2,1,3,Gd,1,6,1,Attchd,2,Y,0,42,NA,9,2008,WD,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,7,5,1915,TA,Gd,756,Gd,Y,961,756,0,1717,1,0,3,Gd,1,7,1,Detchd,3,Y,0,35,NA,2,2006,WD,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,8,5,2000,TA,TA,1145,Ex,Y,1145,1053,0,2198,2,1,4,Gd,1,9,1,Attchd,3,Y,0,84,NA,12,2008,WD,250000
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1993,TA,TA,796,Ex,Y,796,566,0,1362,1,1,1,TA,1,5,0,Attchd,2,Y,0,30,MnPrv,10,2009,WD,143000
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,8,5,2004,TA,TA,1686,Ex,Y,1694,0,0,1694,2,0,3,Gd,1,7,1,Attchd,2,Y,0,57,NA,8,2007,WD,307000
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,PosN,Norm,1Fam,7,6,1973,TA,TA,1107,Ex,Y,1107,983,0,2090,2,1,3,TA,1,7,2,Attchd,2,Y,0,204,NA,11,2009,WD,200000
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,7,5,1931,TA,TA,952,Gd,Y,1022,752,0,1774,2,0,2,TA,2,8,2,Detchd,2,Y,0,0,NA,4,2008,WD,129900
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Artery,Artery,2fmCon,5,6,1939,TA,TA,991,Ex,Y,1077,0,0,1077,1,0,2,TA,2,5,2,Attchd,1,Y,0,4,NA,1,2008,WD,118000
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1965,TA,TA,1040,Ex,Y,1040,0,0,1040,1,0,3,TA,1,5,0,Detchd,1,Y,0,0,NA,2,2008,WD,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,9,5,2005,TA,TA,1175,Ex,Y,1182,1142,0,2324,3,0,4,Ex,1,11,2,BuiltIn,3,Y,0,21,NA,7,2006,New,345000
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1962,TA,TA,912,TA,Y,912,0,0,912,1,0,2,TA,1,4,0,Detchd,1,Y,0,0,NA,9,2008,WD,144000
14,20,RL,91,10652,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,5,2006,TA,TA,1494,Ex,Y,1494,0,0,1494,2,0,3,Gd,1,7,1,Attchd,3,Y,0,33,NA,8,2007,New,279500
15,20,RL,NA,10920,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,5,1960,TA,TA,1253,TA,Y,1253,0,0,1253,1,1,2,TA,1,5,1,Attchd,1,Y,0,213,GdWo,5,2008,WD,157000
16,45,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,7,8,1929,TA,TA,832,Ex,Y,854,0,0,854,1,0,2,TA,1,5,0,Detchd,2,Y,0,112,GdPrv,7,2007,WD,132000
17,20,RL,NA,11241,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,6,7,1970,TA,TA,1004,Ex,Y,1004,0,0,1004,1,0,2,TA,1,5,1,Attchd,2,Y,0,0,NA,3,2010,WD,149000
18,90,RL,72,10791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,4,5,1967,TA,NA,0,TA,Y,1296,0,0,1296,2,0,2,TA,2,6,0,CarPort,2,Y,0,0,NA,10,2006,WD,90000
19,20,RL,66,13695,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,5,5,2004,TA,TA,1114,Ex,Y,1114,0,0,1114,1,1,3,Gd,1,6,0,Detchd,2,Y,0,102,NA,6,2008,WD,159000
20,20,RL,70,7560,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1958,TA,TA,1029,TA,Y,1339,0,0,1339,1,0,3,TA,1,6,0,Attchd,1,Y,0,0,MnPrv,5,2009,COD,139000
